,访问时间,地域,来源,入口页面,搜索词,访问IP,访客标识码,访问时长,访问页数,最后停留在,上一次访问时间,访问类型,访问频次,操作系统,网络服务商,浏览器,语言环境,屏幕分辨率,屏幕颜色,Flash版本,是否支持Cookie,是否支持JAVA,打开时间,停留时长,页面地址
您在使用百度统计服务过程中看到搜索词或者关键词，仅能用于站长的SEO或SEM优化，不得用于其他商业用途或者不正当用途。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 10:48,12s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 10:48,19s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 10:49,7s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 10:49,43s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
27,2023/6/12 10:09,合肥,http://localhost:8080,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,13s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/12 9:21,老访客,3,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/12 10:09,13s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
28,2023/6/12 9:21,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,未知,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/12 6:39,老访客,2,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/12 9:21,未知,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
29,2023/6/12 6:39,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,2.12332E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/12 6:39,老访客,1,Win 10,,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/12 6:39,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
30,2023/6/11 10:44,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,2.12332E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/11 10:44,老访客,1,Win 10,,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/11 10:44,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
31,2023/6/10 10:32,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,2.12332E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/10 9:58,老访客,3,Win 10,,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/10 10:32,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
32,2023/6/10 9:58,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,2.12332E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/10 7:11,老访客,2,Win 10,,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/10 9:58,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
33,2023/6/10 7:11,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,2.12332E+18,2188s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,2023/6/10 7:11,老访客,1,Win 10,,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/10 7:11,1094s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/10 7:29,1094s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
34,2023/6/9 18:40,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,2.12332E+18,1293s,5,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/kaifa/java/1%E7%9F%A5%E8%AF%86%E6%9E%B6%E6%9E%84.html,2023/6/9 17:55,老访客,8,Win 10,,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/9 18:40,420s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 18:47,501s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/me/jiban/qiu/recall/qiu
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 18:48,492s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/me/jiban/qiu/recall/qiuzhaoxin
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 18:56,15s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/kaifa/java/1%E7%9F%A5%E8%AF%86%E6%9E%B6%E6%9E%84.html
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 18:56,356s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/kaifa/java/1%E7%9F%A5%E8%AF%86%E6%9E%B6%E6%9E%84.html
35,2023/6/9 17:55,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,763s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/9 16:31,老访客,7,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/9 17:55,7s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 17:55,756s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
36,2023/6/9 16:31,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,288s,3,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/9 15:18,老访客,6,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/9 16:31,189s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 16:34,4s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 16:34,95s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
37,2023/6/9 15:18,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,8s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/9 14:11,老访客,5,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/9 15:18,4s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 15:18,4s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
38,2023/6/9 14:11,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,未知,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/9 10:56,老访客,4,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/9 14:11,未知,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
39,2023/6/9 10:56,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/9 9:40,老访客,3,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/9 10:56,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
40,2023/6/9 9:40,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,--,60.166.103.35,2.12332E+18,498s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,2023/6/9 8:38,老访客,2,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/9 9:40,249s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 9:44,248s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
41,2023/6/9 8:38,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,1.73366E+18,未知,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,首次访问,新访客,1,Win 10,电信,Google Chrome,中文(简体),800x600,,,支持,不支持,2023/6/9 8:38,未知,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
42,2023/6/9 8:38,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,925s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/9 8:38,老访客,1,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/9 8:38,925s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/9 8:53,未知,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
43,2023/6/9 7:50,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,220.205.248.231,1.7454E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/5/29 17:02,老访客,1,Android 13.0,联通,微信浏览器,中文(简体),,24-bit,,支持,不支持,2023/6/9 7:50,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
44,2023/6/8 22:13,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,1.89976E+18,348s,5,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/me/qiuzhaoxin.html,2023/5/29 19:06,老访客,1,Android 12.0,,微信浏览器,中文(简体),,24-bit,,支持,不支持,2023/6/8 22:13,179s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/8 22:16,242s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/space
,,,,,,,,,,,,,,,,,,,,,,,2023/6/8 22:16,227s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/8 22:17,99s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/me/qiuzhaoxin.html
,,,,,,,,,,,,,,,,,,,,,,,2023/6/8 22:19,8s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/me/qiuzhaoxin.html
